
INSERT INTO Canciones (id, nombre, autor, enlace) VALUES
(1, 'Canción 1', 'Autor 1', 'https://www.example.com/cancion1'),
(2, 'Canción 2', 'Autor 2', 'https://www.example.com/cancion2'),
(3, 'Canción 3', 'Autor 3', 'https://www.example.com/cancion3'),
(4, 'Canción 4', 'Autor 4', 'https://www.example.com/cancion4'),
(5, 'Canción 5', 'Autor 5', 'https://www.example.com/cancion5'),
(6, 'Canción 6', 'Autor 6', 'https://www.example.com/cancion6'),
(7, 'Canción 7', 'Autor 7', 'https://www.example.com/cancion7'),
(8, 'Canción 8', 'Autor 8', 'https://www.example.com/cancion8'),
(9, 'Canción 9', 'Autor 9', 'https://www.example.com/cancion9'),
(10, 'Canción 10', 'Autor 10', 'https://www.example.com/cancion10'),
(11, 'Canción 11', 'Autor 11', 'https://www.example.com/cancion11'),
(12, 'Canción 12', 'Autor 12', 'https://www.example.com/cancion12'),
(13, 'Canción 13', 'Autor 13', 'https://www.example.com/cancion13'),
(14, 'Canción 14', 'Autor 14', 'https://www.example.com/cancion14'),
(15, 'Canción 15', 'Autor 15', 'https://www.example.com/cancion15'),
(16, 'Canción 16', 'Autor 16', 'https://www.example.com/cancion16'),
(17, 'Canción 17', 'Autor 17', 'https://www.example.com/cancion17'),
(18, 'Canción 18', 'Autor 18', 'https://www.example.com/cancion18'),
(19, 'Canción 19', 'Autor 19', 'https://www.example.com/cancion19'),
(20, 'Canción 20', 'Autor 20', 'https://www.example.com/cancion20'),
(21, 'Canción 21', 'Autor 21', 'https://www.example.com/cancion21'),
(22, 'Canción 22', 'Autor 22', 'https://www.example.com/cancion22'),
(23, 'Canción 23', 'Autor 23', 'https://www.example.com/cancion23'),
(24, 'Canción 24', 'Autor 24', 'https://www.example.com/cancion24'),
(25, 'Canción 25', 'Autor 25', 'https://www.example.com/cancion25'),
(26, 'Canción 26', 'Autor 26', 'https://www.example.com/cancion26'),
(27, 'Canción 27', 'Autor 27', 'https://www.example.com/cancion27'),
(28, 'Canción 28', 'Autor 28', 'https://www.example.com/cancion28'),
(29, 'Canción 29', 'Autor 29', 'https://www.example.com/cancion29'),
(30, 'Canción 30', 'Autor 30', 'https://www.example.com/cancion30'),
(31, 'Canción 31', 'Autor 31', 'https://www.example.com/cancion31'),
(32, 'Canción 32', 'Autor 32', 'https://www.example.com/cancion32'),
(33, 'Canción 33', 'Autor 33', 'https://www.example.com/cancion33'),
(34, 'Canción 34', 'Autor 34', 'https://www.example.com/cancion34'),
(35, 'Canción 35', 'Autor 35', 'https://www.example.com/cancion35'),
(36, 'Canción 36', 'Autor 36', 'https://www.example.com/cancion36'),
(37, 'Canción 37', 'Autor 37', 'https://www.example.com/cancion37'),
(38, 'Canción 38', 'Autor 38', 'https://www.example.com/cancion38'),
(39, 'Canción 39', 'Autor 39', 'https://www.example.com/cancion39'),
(40, 'Canción 40', 'Autor 40', 'https://www.example.com/cancion40'),
(41, 'Canción 41', 'Autor 41', 'https://www.example.com/cancion41'),
(42, 'Canción 42', 'Autor 42', 'https://www.example.com/cancion42'),
(43, 'Canción 43', 'Autor 43', 'https://www.example.com/cancion43'),
(44, 'Canción 44', 'Autor 44', 'https://www.example.com/cancion44'),
(45, 'Canción 45', 'Autor 45', 'https://www.example.com/cancion45'),
(46, 'Canción 46', 'Autor 46', 'https://www.example.com/cancion46'),
(47, 'Canción 47', 'Autor 47', 'https://www.example.com/cancion47'),
(48, 'Canción 48', 'Autor 48', 'https://www.example.com/cancion48'),
(49, 'Canción 49', 'Autor 49', 'https://www.example.com/cancion49'),
(50, 'Canción 50', 'Autor 50', 'https://www.example.com/cancion50'),
(51, 'Canción 51', 'Autor 51', 'https://www.example.com/cancion51'),
(52, 'Canción 52', 'Autor 52', 'https://www.example.com/cancion52'),
(53, 'Canción 53', 'Autor 53', 'https://www.example.com/cancion53'),
(54, 'Canción 54', 'Autor 54', 'https://www.example.com/cancion54'),
(55, 'Canción 55', 'Autor 55', 'https://www.example.com/cancion55'),
(56, 'Canción 56', 'Autor 56', 'https://www.example.com/cancion56'),
(57, 'Canción 57', 'Autor 57', 'https://www.example.com/cancion57'),
(58, 'Canción 58', 'Autor 58', 'https://www.example.com/cancion58'),
(59, 'Canción 59', 'Autor 59', 'https://www.example.com/cancion59'),
(60, 'Canción 60', 'Autor 60', 'https://www.example.com/cancion60'),
(61, 'Canción 61', 'Autor 61', 'https://www.example.com/cancion61'),
(62, 'Canción 62', 'Autor 62', 'https://www.example.com/cancion62'),
(63, 'Canción 63', 'Autor 63', 'https://www.example.com/cancion63'),
(64, 'Canción 64', 'Autor 64', 'https://www.example.com/cancion64'),
(65, 'Canción 65', 'Autor 65', 'https://www.example.com/cancion65'),
(66, 'Canción 66', 'Autor 66', 'https://www.example.com/cancion66'),
(67, 'Canción 67', 'Autor 67', 'https://www.example.com/cancion67'),
(68, 'Canción 68', 'Autor 68', 'https://www.example.com/cancion68'),
(69, 'Canción 69', 'Autor 69', 'https://www.example.com/cancion69'),
(70, 'Canción 70', 'Autor 70', 'https://www.example.com/cancion70'),
(71, 'Canción 71', 'Autor 71', 'https://www.example.com/cancion71'),
(72, 'Canción 72', 'Autor 72', 'https://www.example.com/cancion72'),
(73, 'Canción 73', 'Autor 73', 'https://www.example.com/cancion73'),
(74, 'Canción 74', 'Autor 74', 'https://www.example.com/cancion74'),
(75, 'Canción 75', 'Autor 75', 'https://www.example.com/cancion75'),
(76, 'Canción 76', 'Autor 76', 'https://www.example.com/cancion76'),
(77, 'Canción 77', 'Autor 77', 'https://www.example.com/cancion77'),
(78, 'Canción 78', 'Autor 78', 'https://www.example.com/cancion78'),
(79, 'Canción 79', 'Autor 79', 'https://www.example.com/cancion79'),
(80, 'Canción 80', 'Autor 80', 'https://www.example.com/cancion80'),
(81, 'Canción 81', 'Autor 81', 'https://www.example.com/cancion81'),
(82, 'Canción 82', 'Autor 82', 'https://www.example.com/cancion82'),
(83, 'Canción 83', 'Autor 83', 'https://www.example.com/cancion83'),
(84, 'Canción 84', 'Autor 84', 'https://www.example.com/cancion84'),
(85, 'Canción 85', 'Autor 85', 'https://www.example.com/cancion85'),
(86, 'Canción 86', 'Autor 86', 'https://www.example.com/cancion86'),
