INSERT INTO Twitch (id, canal, autor, enlace, genero) VALUES
(1, 'GamingChannel1', 'Streamer1', 'https://www.twitch.tv/gamingchannel1', 'Gaming'),
(2, 'ArtisticStreams2', 'Artist2', 'https://www.twitch.tv/artisticstreams2', 'Art'),
(3, 'TechExplorers3', 'Techie3', 'https://www.twitch.tv/techexplorers3', 'Technology'),
(4, 'FoodieChannel4', 'Chef4', 'https://www.twitch.tv/foodiechannel4', 'Food'),
(5, 'MusicVibes5', 'Musician5', 'https://www.twitch.tv/musicvibes5', 'Music'),
(6, 'AdventureStream6', 'Adventurer6', 'https://www.twitch.tv/adventurestream6', 'Adventure'),
(7, 'ComedyChannel7', 'Comedian7', 'https://www.twitch.tv/comedychannel7', 'Comedy'),
(8, 'SportsZone8', 'Athlete8', 'https://www.twitch.tv/sportszone8', 'Sports'),
(9, 'ScienceGeeks9', 'Scientist9', 'https://www.twitch.tv/sciencegeeks9', 'Science'),
(10, 'CookingLive10', 'Cook10', 'https://www.twitch.tv/cookinglive10', 'Cooking'),
(11, 'GamingChannel11', 'Streamer11', 'https://www.twitch.tv/gamingchannel11', 'Gaming'),
(12, 'ArtisticStreams12', 'Artist12', 'https://www.twitch.tv/artisticstreams12', 'Art'),
(13, 'LifestyleStream13', 'Lifestyler13', 'https://www.twitch.tv/lifestylestream13', 'Lifestyle'),
(14, 'FashionChannel14', 'Fashionista14', 'https://www.twitch.tv/fashionchannel14', 'Fashion'),
(15, 'TechInnovators15', 'Innovator15', 'https://www.twitch.tv/techinnovators15', 'Technology'),
(16, 'OutdoorsLife16', 'Explorer16', 'https://www.twitch.tv/outdoorslife16', 'Outdoors'),
(17, 'MusicJam17', 'Musician17', 'https://www.twitch.tv/musicjam17', 'Music'),
(18, 'HealthTalk18', 'Doctor18', 'https://www.twitch.tv/healthtalk18', 'Health'),
(19, 'PetsParadise19', 'PetLover19', 'https://www.twitch.tv/petsparadise19', 'Pets'),
(20, 'BusinessInsights20', 'BusinessExpert20', 'https://www.twitch.tv/businessinsights20', 'Business'),
(21, 'ScienceLab21', 'Scientist21', 'https://www.twitch.tv/sciencelab21', 'Science'),
(22, 'DIYProjects22', 'DIYer22', 'https://www.twitch.tv/diyprojects22', 'DIY'),
(23, 'CookingMaster23', 'MasterChef23', 'https://www.twitch.tv/cookingmaster23', 'Cooking'),
(24, 'ArtGallery24', 'ArtCurator24', 'https://www.twitch.tv/artgallery24', 'Art'),
(25, 'TechInnovators25', 'Innovator25', 'https://www.twitch.tv/techinnovators25', 'Technology'),
(26, 'OutdoorsLife26', 'Explorer26', 'https://www.twitch.tv/outdoorslife26', 'Outdoors'),
(27, 'MusicJam27', 'Musician27', 'https://www.twitch.tv/musicjam27', 'Music'),
(28, 'HealthTalk28', 'Doctor28', 'https://www.twitch.tv/healthtalk28', 'Health'),
(29, 'PetsParadise29', 'PetLover29', 'https://www.twitch.tv/petsparadise29', 'Pets'),
(30, 'BusinessInsights30', 'BusinessExpert30', 'https://www.twitch.tv/businessinsights30', 'Business'),
(31, 'ScienceLab31', 'Scientist31', 'https://www.twitch.tv/sciencelab31', 'Science'),
(32, 'DIYProjects32', 'DIYer32', 'https://www.twitch.tv/diyprojects32', 'DIY'),
(33, 'CookingMaster33', 'MasterChef33', 'https://www.twitch.tv/cookingmaster33', 'Cooking'),
(34, 'ArtGallery34', 'ArtCurator34', 'https://www.twitch.tv/artgallery34', 'Art'),
(35, 'TechInnovators35', 'Innovator35', 'https://www.twitch.tv/techinnovators35', 'Technology'),
(36, 'OutdoorsLife36', 'Explorer36', 'https://www.twitch.tv/outdoorslife36', 'Outdoors'),
(37, 'MusicJam37', 'Musician37', 'https://www.twitch.tv/musicjam37', 'Music'),
(38, 'HealthTalk38', 'Doctor38', 'https://www.twitch.tv/healthtalk38', 'Health'),
(39, 'PetsParadise39', 'PetLover39', 'https://www.twitch.tv/petsparadise39', 'Pets'),
(40, 'BusinessInsights40', 'BusinessExpert40', 'https://www.twitch.tv/businessinsights40', 'Business'),
(41, 'ScienceLab41', 'Scientist41', 'https://www.twitch.tv/sciencelab41', 'Science'),
(42, 'DIYProjects42', 'DIYer42', 'https://www.twitch.tv/diyprojects42', 'DIY'),
(43, 'CookingMaster43', 'MasterChef43', 'https://www.twitch.tv/cookingmaster43', 'Cooking'),
(44, 'ArtGallery44', 'ArtCurator44', 'https://www.twitch.tv/artgallery44', 'Art'),
(45, 'TechInnovators45', 'Innovator45', 'https://www.twitch.tv/techinnovators45', 'Technology'),
(46, 'OutdoorsLife46', 'Explorer46', 'https://www.twitch.tv/outdoorslife46', 'Outdoors'),
(47, 'MusicJam47', 'Musician47', 'https://www.twitch.tv/musicjam47', 'Music'),
(48, 'HealthTalk48', 'Doctor48', 'https://www.twitch.tv/healthtalk48', 'Health'),
(49, 'PetsParadise49', 'PetLover49', 'https://www.twitch.tv/petsparadise49', 'Pets'),
(50, 'BusinessInsights50', 'BusinessExpert50', 'https://www.twitch.tv/businessinsights50', 'Business'),
(51, 'ScienceLab51', 'Scientist51', 'https://www.twitch.tv/sciencelab51', 'Science'),
(52, 'DIYProjects52', 'DIYer52', 'https://www.twitch.tv/diyprojects52', 'DIY'),
(53, 'CookingMaster53', 'MasterChef53', 'https://www.twitch.tv/cookingmaster53', 'Cooking'),
(54, 'ArtGallery54', 'ArtCurator54', 'https://www.twitch.tv/artgallery54', 'Art'),
(55, 'TechInnovators55', 'Innovator55', 'https://www.twitch.tv/techinnovators55', 'Technology'),
