
INSERT INTO Peliculas (id, Nombre, Director, Genero, Duracion, Publicacion, Enlace) VALUES
(1, 'Pelicula 1', 'Director 1', 'Genero 1', 120, '2022-01-01', 'https://www.example.com/pelicula1'),
(2, 'Pelicula 2', 'Director 2', 'Genero 2', 110, '2022-01-02', 'https://www.example.com/pelicula2'),
(3, 'Pelicula 3', 'Director 3', 'Genero 3', 115, '2022-01-03', 'https://www.example.com/pelicula3'),
(4, 'Pelicula 4', 'Director 4', 'Genero 4', 125, '2022-01-04', 'https://www.example.com/pelicula4'),
(5, 'Pelicula 5', 'Director 5', 'Genero 5', 105, '2022-01-05', 'https://www.example.com/pelicula5'),
(6, 'Pelicula 6', 'Director 6', 'Genero 6', 95, '2022-01-06', 'https://www.example.com/pelicula6'),
(7, 'Pelicula 7', 'Director 7', 'Genero 7', 130, '2022-01-07', 'https://www.example.com/pelicula7'),
(8, 'Pelicula 8', 'Director 8', 'Genero 8', 140, '2022-01-08', 'https://www.example.com/pelicula8'),
(9, 'Pelicula 9', 'Director 9', 'Genero 9', 115, '2022-01-09', 'https://www.example.com/pelicula9'),
(10, 'Pelicula 10', 'Director 10', 'Genero 10', 150, '2022-01-10', 'https://www.example.com/pelicula10'),
(11, 'Pelicula 11', 'Director 11', 'Genero 11', 120, '2022-01-11', 'https://www.example.com/pelicula11'),
(12, 'Pelicula 12', 'Director 12', 'Genero 12', 110, '2022-01-12', 'https://www.example.com/pelicula12'),
(13, 'Pelicula 13', 'Director 13', 'Genero 13', 115, '2022-01-13', 'https://www.example.com/pelicula13'),
(14, 'Pelicula 14', 'Director 14', 'Genero 14', 125, '2022-01-14', 'https://www.example.com/pelicula14'),
(15, 'Pelicula 15', 'Director 15', 'Genero 15', 105, '2022-01-15', 'https://www.example.com/pelicula15'),
(16, 'Pelicula 16', 'Director 16', 'Genero 16', 95, '2022-01-16', 'https://www.example.com/pelicula16'),
(17, 'Pelicula 17', 'Director 17', 'Genero 17', 130, '2022-01-17', 'https://www.example.com/pelicula17'),
(18, 'Pelicula 18', 'Director 18', 'Genero 18', 140, '2022-01-18', 'https://www.example.com/pelicula18'),
